CodeSite_SamplingOperations_x,Date_SamplingOperation,IBD,IBD_EQR,IBD_EQR_Status,Longitude_Lambert93,Latitude_Lambert93,Watershed,HERlvl1Name,Streamsize
S02000010,2018-07-16,15.4,0.8421052631578947,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2018-07-16,14.6,0.7953216374269005,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2019-07-17,14.5,0.7894736842105262,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2019-09-24,13.8,0.7485380116959064,Moderate,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2020-07-07,15.8,0.8654970760233918,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000011,2020-07-07,16.0,0.8771929824561403,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2021-08-23,16.0,0.8771929824561403,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000010,2021-08-23,15.9,0.871345029239766,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000990,2010-07-19,14.5,0.7894736842105262,Good,1040367.0,6728003.0,Rhin-Meuse,ALSACE,TP
S02001006,2018-05-17,15.2,0.830409356725146,Good,1036416.0,6731367.0,Rhin-Meuse,ALSACE,TP
S02001006,2021-05-26,14.2,0.7719298245614034,Moderate,1036416.0,6731367.0,Rhin-Meuse,ALSACE,TP
S02001000,2007-09-06,14.4,0.783625730994152,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2007-09-06,14.3,0.7777777777777778,Moderate,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000010,2008-08-11,14.65,0.7982456140350878,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2008-08-11,14.7,0.8011695906432748,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2009-07-21,15.0,0.8187134502923976,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2009-07-21,14.9,0.8128654970760233,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02001000,2010-07-19,15.2,0.830409356725146,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2010-07-19,15.5,0.8479532163742689,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2011-07-23,15.7,0.8596491228070174,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2011-07-23,16.0,0.8771929824561403,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2012-08-01,15.1,0.8245614035087718,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2012-08-01,16.5,0.9064327485380116,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2013-08-19,11.7,0.6257309941520467,Moderate,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2013-08-19,15.2,0.830409356725146,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2014-09-30,15.5,0.8479532163742689,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2014-10-07,15.5,0.8479532163742689,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2015-07-18,15.8,0.8654970760233918,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2015-08-11,15.475,0.8464912280701753,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2016-07-20,15.15,0.827485380116959,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2016-08-25,15.45,0.8450292397660818,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02000010,2017-07-03,15.425,0.8435672514619883,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2017-07-03,14.5,0.7894736842105262,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2018-07-16,15.4,0.8421052631578947,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2018-07-16,14.5,0.7894736842105262,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2019-07-17,14.5,0.7894736842105262,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2019-07-18,14.4,0.783625730994152,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2020-07-07,15.8,0.8654970760233918,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2020-07-07,15.2,0.830409356725146,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000010,2021-08-23,15.9,0.871345029239766,Good,1039381.0,6737723.0,Rhin-Meuse,ALSACE,
S02001000,2021-08-25,14.5,0.7894736842105262,Good,1038791.0,6736177.0,Rhin-Meuse,ALSACE,TP
S02000990,2010-07-19,14.5,0.7894736842105262,Good,1040367.0,6728003.0,Rhin-Meuse,ALSACE,TP
S02001006,2018-05-17,15.2,0.830409356725146,Good,1036416.0,6731367.0,Rhin-Meuse,ALSACE,TP
S02001006,2021-05-26,14.2,0.7719298245614034,Moderate,1036416.0,6731367.0,Rhin-Meuse,ALSACE,TP
S02001025,2007-09-05,13.1,0.7076023391812865,Moderate,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001016,2008-08-11,13.899999999999999,0.7543859649122806,Moderate,1032286.0,6737746.0,Rhin-Meuse,ALSACE,TP
S02001025,2008-08-11,14.7,0.8011695906432748,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2009-07-21,13.5,0.7309941520467835,Moderate,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2010-07-19,14.3,0.7777777777777778,Moderate,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2011-07-23,15.05,0.8216374269005848,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2012-08-01,15.8,0.8654970760233918,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2013-08-19,14.6,0.7953216374269005,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2014-09-30,15.6,0.8538011695906432,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001016,2015-07-18,15.1,0.8245614035087718,Good,1032286.0,6737746.0,Rhin-Meuse,ALSACE,TP
S02001025,2015-07-18,15.7,0.8596491228070174,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2016-07-20,15.7,0.8596491228070174,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001016,2017-07-03,14.8,0.8070175438596491,Good,1032286.0,6737746.0,Rhin-Meuse,ALSACE,TP
S02001025,2017-07-03,15.7,0.8596491228070174,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2018-07-16,15.8,0.8654970760233918,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2019-07-17,15.850000000000001,0.8684210526315789,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2020-07-07,15.9,0.871345029239766,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001016,2020-07-07,14.8,0.8070175438596491,Good,1032286.0,6737746.0,Rhin-Meuse,ALSACE,TP
S02001025,2021-08-06,15.3,0.8362573099415205,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2007-09-05,13.1,0.7076023391812865,Moderate,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2008-08-11,14.7,0.8011695906432748,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2009-07-21,13.5,0.7309941520467835,Moderate,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2010-07-19,14.3,0.7777777777777778,Moderate,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2011-07-23,15.05,0.8216374269005848,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2012-08-01,15.8,0.8654970760233918,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2013-08-19,14.6,0.7953216374269005,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2014-09-30,15.6,0.8538011695906432,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2015-07-18,15.7,0.8596491228070174,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001030,2015-07-18,15.4,0.8421052631578947,Good,1030170.0,6741973.0,Rhin-Meuse,ALSACE,TP
S02001025,2016-07-20,15.7,0.8596491228070174,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2017-07-03,15.7,0.8596491228070174,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2018-07-16,15.8,0.8654970760233918,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001030,2018-07-16,15.6,0.8538011695906432,Good,1030170.0,6741973.0,Rhin-Meuse,ALSACE,TP
S02001025,2019-07-17,15.850000000000001,0.8684210526315789,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2020-07-07,15.9,0.871345029239766,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2021-08-06,15.3,0.8362573099415205,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2007-09-05,13.1,0.7076023391812865,Moderate,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2008-08-11,14.7,0.8011695906432748,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2009-07-21,13.5,0.7309941520467835,Moderate,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2010-07-19,14.3,0.7777777777777778,Moderate,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2011-07-23,15.05,0.8216374269005848,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2012-08-01,15.8,0.8654970760233918,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2013-08-19,14.6,0.7953216374269005,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2014-09-30,15.6,0.8538011695906432,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2015-07-18,15.7,0.8596491228070174,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001030,2015-07-18,15.4,0.8421052631578947,Good,1030170.0,6741973.0,Rhin-Meuse,ALSACE,TP
S02001025,2016-07-20,15.7,0.8596491228070174,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2017-07-03,15.7,0.8596491228070174,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001030,2018-07-16,15.6,0.8538011695906432,Good,1030170.0,6741973.0,Rhin-Meuse,ALSACE,TP
S02001025,2018-07-16,15.8,0.8654970760233918,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2019-07-17,15.850000000000001,0.8684210526315789,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2020-07-07,15.9,0.871345029239766,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001025,2021-08-06,15.3,0.8362573099415205,Good,1028974.0,6740387.0,Rhin-Meuse,ALSACE,TP
S02001725,2007-09-07,13.8,0.7485380116959064,Moderate,1044874.0,6806422.0,Rhin-Meuse,ALSACE,TP
S02001725,2008-09-12,14.5,0.7894736842105262,Good,1044874.0,6806422.0,Rhin-Meuse,ALSACE,TP
S02001725,2009-08-04,14.7,0.8011695906432748,Good,1044874.0,6806422.0,Rhin-Meuse,ALSACE,TP
S02001046,2010-07-26,14.649999999999999,0.7982456140350876,Good,1045006.0,6801458.0,Rhin-Meuse,ALSACE,TP
S02001725,2010-07-26,14.6,0.7953216374269005,Good,1044874.0,6806422.0,Rhin-Meuse,ALSACE,TP
S02001725,2011-07-21,14.6,0.7953216374269005,Good,1044874.0,6806422.0,Rhin-Meuse,ALSACE,TP
S02001725,2012-07-31,15.6,0.8538011695906432,Good,1044874.0,6806422.0,Rhin-Meuse,ALSACE,TP
S02001725,2016-08-29,16.4,0.9005847953216373,Good,1044874.0,6806422.0,Rhin-Meuse,ALSACE,TP
S02001725,2017-07-06,17.2,0.9473684210526314,High,1044874.0,6806422.0,Rhin-Meuse,ALSACE,TP
S02001725,2018-07-26,16.7,0.91812865497076,Good,1044874.0,6806422.0,Rhin-Meuse,ALSACE,TP
S02001725,2019-07-18,17.0,0.935672514619883,Good,1044874.0,6806422.0,Rhin-Meuse,ALSACE,TP
S02001725,2020-06-30,16.4,0.9005847953216373,Good,1044874.0,6806422.0,Rhin-Meuse,ALSACE,TP
S02001725,2021-09-08,15.5,0.8479532163742689,Good,1044874.0,6806422.0,Rhin-Meuse,ALSACE,TP
S02001050,2007-09-07,15.3,0.8362573099415205,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001500,2007-09-07,15.4,0.8421052631578947,Good,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001050,2008-08-05,15.5,0.8479532163742689,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001500,2008-08-05,15.6,0.8538011695906431,Good,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001050,2009-08-04,15.7,0.8596491228070174,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001050,2010-07-27,14.9,0.8128654970760233,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001500,2010-07-27,17.7,0.9766081871345028,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001050,2011-07-21,16.4,0.9005847953216373,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001500,2011-07-21,19.9,1.0,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001050,2012-07-18,15.399999999999999,0.8421052631578947,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001050,2013-08-20,14.4,0.783625730994152,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001050,2014-08-12,15.0,0.8187134502923976,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001500,2014-09-24,18.4,1.0,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001050,2015-08-11,14.8,0.8070175438596491,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001500,2016-08-26,18.35,1.0,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001050,2016-08-26,15.0,0.8187134502923976,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001500,2017-07-06,18.3,1.0,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001050,2017-07-06,15.2,0.830409356725146,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001050,2018-07-25,15.4,0.8421052631578947,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001500,2018-08-28,18.3,1.0,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001500,2019-07-18,19.2,1.0,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001050,2019-07-18,16.1,0.8830409356725146,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001050,2020-06-30,15.8,0.8654970760233918,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001500,2020-06-30,17.5,0.9649122807017544,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001050,2021-08-05,15.4,0.8421052631578947,Good,1049248.0,6811780.0,Rhin-Meuse,ALSACE,TG
S02001500,2021-08-05,17.5,0.9649122807017544,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001100,2009-07-23,16.2,0.8888888888888887,Good,1037504.0,6784130.0,Rhin-Meuse,ALSACE,
S02022760,2010-07-22,16.2,0.8888888888888887,Good,1033271.0,6785633.0,Rhin-Meuse,ALSACE,
S02001150,2009-07-22,17.2,0.9473684210526314,High,1036384.0,6755130.0,Rhin-Meuse,ALSACE,
S02007300,2010-07-20,15.1,0.8245614035087718,Good,1027473.0,6755714.0,Rhin-Meuse,ALSACE,M
S02007300,2016-07-19,15.1,0.8245614035087718,Good,1027473.0,6755714.0,Rhin-Meuse,ALSACE,M
S02001150,2017-07-04,16.25,0.891812865497076,Good,1036384.0,6755130.0,Rhin-Meuse,ALSACE,
S02007300,2019-07-16,15.1,0.8245614035087718,Good,1027473.0,6755714.0,Rhin-Meuse,ALSACE,M
S02001150,2020-07-08,15.3,0.8362573099415205,Good,1036384.0,6755130.0,Rhin-Meuse,ALSACE,
S02000011,2007-09-06,15.2,0.830409356725146,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2008-08-11,17.7,0.9766081871345028,High,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02001200,2009-07-21,20.0,1.0,High,1037940.0,6741445.0,Rhin-Meuse,ALSACE,
S02000011,2009-07-21,16.4,0.9005847953216373,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2010-07-19,16.2,0.8888888888888888,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2011-07-23,16.0,0.8771929824561403,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2012-08-01,16.7,0.91812865497076,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2013-08-19,12.3,0.6608187134502924,Moderate,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2014-10-07,15.7,0.8596491228070174,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2015-08-11,14.6,0.7953216374269005,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2016-07-19,14.85,0.8099415204678362,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02001200,2016-08-25,18.15,0.9473684210526316,High,1037940.0,6741445.0,Rhin-Meuse,ALSACE,
S02000011,2017-07-04,15.1,0.8245614035087718,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2018-07-16,14.6,0.7953216374269005,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02001200,2019-07-16,16.3,0.8947368421052632,Good,1037940.0,6741445.0,Rhin-Meuse,ALSACE,
S02000011,2019-09-24,13.8,0.7485380116959064,Moderate,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2020-07-07,16.0,0.8771929824561403,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02000011,2021-08-23,16.0,0.8771929824561403,Good,1039269.0,6738650.0,Rhin-Meuse,ALSACE,TG
S02001250,2010-07-21,14.0,0.7602339181286549,Moderate,1040256.0,6766556.0,Rhin-Meuse,ALSACE,TP
S02022730,2010-07-21,15.8,0.8654970760233918,Good,1033819.0,6775083.0,Rhin-Meuse,ALSACE,
S02022730,2016-08-25,14.5,0.7894736842105262,Good,1033819.0,6775083.0,Rhin-Meuse,ALSACE,
S02022730,2019-07-18,13.2,0.7134502923976607,Moderate,1033819.0,6775083.0,Rhin-Meuse,ALSACE,
S02001500,2007-09-07,,,,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001500,2008-08-05,15.6,0.8538011695906431,Good,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001500,2010-07-27,17.7,0.9766081871345028,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001500,2011-07-21,19.9,1.0,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001500,2014-09-24,18.4,1.0,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001500,2016-08-26,18.35,1.0,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001500,2017-07-06,18.3,1.0,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001500,2018-08-28,18.3,1.0,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001500,2019-07-18,19.2,1.0,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001500,2020-06-30,17.5,0.9649122807017544,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001500,2021-08-05,17.5,0.9649122807017544,High,1046252.0,6813302.0,Rhin-Meuse,ALSACE,TP
S02001700,2007-08-06,12.2,0.654970760233918,Moderate,1061961.0,6853655.0,Rhin-Meuse,ALSACE,TG
S02044100,2007-09-10,13.0,0.7017543859649122,Moderate,1056899.0,6856284.0,Rhin-Meuse,ALSACE,M
S02001700,2008-08-06,14.6,0.7953216374269005,Good,1061961.0,6853655.0,Rhin-Meuse,ALSACE,TG
S02001700,2009-08-03,15.8,0.8654970760233918,Good,1061961.0,6853655.0,Rhin-Meuse,ALSACE,TG
S02001700,2010-09-06,15.0,0.8187134502923976,Good,1061961.0,6853655.0,Rhin-Meuse,ALSACE,TG
